item,geo,inception
http://www.wikidata.org/entity/Q2153365,Point(3.61472 51.50083),1972-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2166962,Point(4.851586 51.946892),1617-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2168069,Point(6.836667 53.32),1998-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2181432,Point(3.575278 51.441389),2001-04-02T00:00:00Z
http://www.wikidata.org/entity/Q2191087,Point(4.87181 52.36152),1882-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2191110,Point(4.89278 52.36333),1973-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2193739,Point(4.47222 51.91556),1933-01-01T00:00:00Z
http://www.wikidata.org/entity/Q623558,Point(4.898056 52.374167),1408-01-01T00:00:00Z
http://www.wikidata.org/entity/Q639909,Point(4.74388889 52.6325),1470-01-01T00:00:00Z
http://www.wikidata.org/entity/Q679527,Point(4.47308 51.914183),1849-01-01T00:00:00Z
http://www.wikidata.org/entity/Q680425,Point(5.7888443 51.9666973),1402-01-01T00:00:00Z
http://www.wikidata.org/entity/Q692381,Point(5.945833 52.234167),1686-01-01T00:00:00Z
http://www.wikidata.org/entity/Q702726,Point(4.903844 52.3673),1932-01-01T00:00:00Z
http://www.wikidata.org/entity/Q713124,Point(4.916666666 52.366111111),1838-01-01T00:00:00Z
http://www.wikidata.org/entity/Q848290,Point(4.711389 52.010833),1278-01-01T00:00:00Z
http://www.wikidata.org/entity/Q848313,Point(5.79444 53.19972),1881-04-13T00:00:00Z
http://www.wikidata.org/entity/Q893334,Point(5.66343 53.03227),1938-01-01T00:00:00Z
http://www.wikidata.org/entity/Q914231,Point(5.147597 52.085333),1924-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1013565,Point(5.113106 52.772473),1288-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1056152,Point(4.89139 52.37306),1665-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1127079,Point(5.871111 51.846389),1999-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1131589,Point(4.921111111 52.3625),1864-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1131877,Point(5.172896 52.235544),2006-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1179733,Point(4.9062 52.3734),1975-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1208561,Point(4.8825 52.359444),2007-01-01T00:00:00Z
