item,geo
http://www.wikidata.org/entity/Q2017195,Point(-63.2499 17.635)
http://www.wikidata.org/entity/Q2156810,Point(4.4036 51.3969)
http://www.wikidata.org/entity/Q2198135,Point(-63.23333333 17.63888889)
http://www.wikidata.org/entity/Q2474005,Point(-68.383 12.272)
http://www.wikidata.org/entity/Q2568630,Point(-62.97305556 17.48527778)
http://www.wikidata.org/entity/Q2642108,Point(-68.33333333 12.18333333)
http://www.wikidata.org/entity/Q4692149,Point(-62.96 17.47805556)
http://www.wikidata.org/entity/Q27306267,Point(5.33333333 52.5)
