item,geo,inception
http://www.wikidata.org/entity/Q3536406,Point(6.15938 52.86579),
http://www.wikidata.org/entity/Q4453336,Point(3.8868 51.8012),
http://www.wikidata.org/entity/Q17405962,Point(6.05583 51.45997),
http://www.wikidata.org/entity/Q17405999,Point(5.19591 52.02666),
http://www.wikidata.org/entity/Q17406178,Point(5.15385 51.97959),
http://www.wikidata.org/entity/Q17406182,Point(5.12784 52.00406),
http://www.wikidata.org/entity/Q17406365,Point(4.08278 51.34437),
http://www.wikidata.org/entity/Q17406372,Point(6.23299 52.02343),
http://www.wikidata.org/entity/Q17406450,Point(6.21579 52.01494),
http://www.wikidata.org/entity/Q17406706,Point(4.38678 51.42932),
http://www.wikidata.org/entity/Q17406725,Point(5.81782 53.10491),
http://www.wikidata.org/entity/Q17406750,Point(5.80199 53.08442),
http://www.wikidata.org/entity/Q17406751,Point(5.81315 53.08407),
http://www.wikidata.org/entity/Q17406767,Point(5.77969 53.12473),
http://www.wikidata.org/entity/Q17406942,Point(5.8616 53.15607),
http://www.wikidata.org/entity/Q17406975,Point(5.89888 53.14947),
http://www.wikidata.org/entity/Q17407025,Point(4.92064 52.13311),
http://www.wikidata.org/entity/Q17407028,Point(4.93163 52.13718),
http://www.wikidata.org/entity/Q17410113,Point(3.98575 51.51699),
http://www.wikidata.org/entity/Q17410133,Point(3.98382 51.51161),
http://www.wikidata.org/entity/Q17410135,Point(3.98519 51.51708),
http://www.wikidata.org/entity/Q17410139,Point(3.98235 51.52453),
http://www.wikidata.org/entity/Q17410194,Point(6.0537 50.86941),
http://www.wikidata.org/entity/Q17410215,Point(6.05439 50.87199),
http://www.wikidata.org/entity/Q17410242,Point(6.01309 50.85363),
http://www.wikidata.org/entity/Q17410245,Point(6.02928 50.87242),
http://www.wikidata.org/entity/Q17410275,Point(5.14716 51.74903),
http://www.wikidata.org/entity/Q17410303,Point(5.58137 51.93763),
http://www.wikidata.org/entity/Q17410306,Point(5.56008 51.93144),
http://www.wikidata.org/entity/Q17410315,Point(4.439 51.77759),
http://www.wikidata.org/entity/Q17412063,Point(6.40387 53.3954),
http://www.wikidata.org/entity/Q17412064,Point(6.41242 53.40229),
http://www.wikidata.org/entity/Q17412065,Point(6.32347 53.37661),
http://www.wikidata.org/entity/Q17412084,Point(4.97338 52.14617),
http://www.wikidata.org/entity/Q17412324,Point(4.94845 52.1468),
http://www.wikidata.org/entity/Q17412363,Point(6.15957 53.28975),
http://www.wikidata.org/entity/Q17412387,Point(6.15771 53.29326),
http://www.wikidata.org/entity/Q17412410,Point(6.15059 53.30109),
http://www.wikidata.org/entity/Q17412465,Point(6.07266 53.26184),
http://www.wikidata.org/entity/Q17412468,Point(6.07229 53.26164),
http://www.wikidata.org/entity/Q17412470,Point(6.06008 53.26085),
http://www.wikidata.org/entity/Q17412473,Point(6.10966 53.28),
http://www.wikidata.org/entity/Q17412474,Point(6.10584 53.26414),
http://www.wikidata.org/entity/Q17412479,Point(6.08553 53.29232),
http://www.wikidata.org/entity/Q17412538,Point(4.59877 51.92404),
http://www.wikidata.org/entity/Q17412552,Point(6.03169 50.90889),
http://www.wikidata.org/entity/Q17412553,Point(6.02835 50.9066),
http://www.wikidata.org/entity/Q17412554,Point(6.02645 50.87938),
http://www.wikidata.org/entity/Q17412589,Point(6.05297 50.91053),
http://www.wikidata.org/entity/Q17412646,Point(5.32268 52.01381),
http://www.wikidata.org/entity/Q17412667,Point(5.39087 51.99203),
http://www.wikidata.org/entity/Q17412768,Point(6.38748 53.1791),
http://www.wikidata.org/entity/Q17412771,Point(6.35731 53.17274),
http://www.wikidata.org/entity/Q17412775,Point(5.55861 51.3526),
http://www.wikidata.org/entity/Q17412782,Point(6.37644 53.37422),
http://www.wikidata.org/entity/Q17412786,Point(6.39405 53.35946),
http://www.wikidata.org/entity/Q17412789,Point(6.468 53.34433),
http://www.wikidata.org/entity/Q17412790,Point(6.45249 53.34375),
http://www.wikidata.org/entity/Q17412791,Point(6.46826 53.34583),
http://www.wikidata.org/entity/Q17412802,Point(6.42955 53.33488),
