item,geo,inception
http://www.wikidata.org/entity/Q1982236,Point(5.86979 51.84877),
http://www.wikidata.org/entity/Q1984998,Point(4.3629297 52.0087609),
http://www.wikidata.org/entity/Q1989889,Point(4.320833 52.079722),
http://www.wikidata.org/entity/Q1991368,Point(5.4334 51.885439),
http://www.wikidata.org/entity/Q1993319,Point(6.171141666 51.371877777),
http://www.wikidata.org/entity/Q2004119,Point(4.636667 52.381389),
http://www.wikidata.org/entity/Q2004198,Point(5.122219 52.085108),
http://www.wikidata.org/entity/Q2010239,Point(6.17139 51.37083),
http://www.wikidata.org/entity/Q2013526,Point(4.327778 52.048889),
http://www.wikidata.org/entity/Q2015777,Point(5.28 52.05417),
http://www.wikidata.org/entity/Q2018860,Point(5.11999 52.09111),
http://www.wikidata.org/entity/Q2025139,Point(5.24889 51.81111),
http://www.wikidata.org/entity/Q2027576,Point(6.56411 53.21669),
http://www.wikidata.org/entity/Q2027850,Point(4.712492 52.010394),
http://www.wikidata.org/entity/Q2030536,Point(6.55951 53.21676),
http://www.wikidata.org/entity/Q2037658,Point(6.171111 51.370556),
http://www.wikidata.org/entity/Q2039016,Point(5.15139 51.9975),
http://www.wikidata.org/entity/Q2039016,Point(5.15141 51.99743),
http://www.wikidata.org/entity/Q2047016,Point(5.07055 52.12748),
http://www.wikidata.org/entity/Q2047016,Point(5.070555555 52.127488888),
http://www.wikidata.org/entity/Q2054287,Point(4.885483 52.093614),
http://www.wikidata.org/entity/Q2055624,Point(4.31427 52.08329),
http://www.wikidata.org/entity/Q2061708,Point(5.259444 52.068333),
http://www.wikidata.org/entity/Q2092264,Point(5.12639 52.08389),
http://www.wikidata.org/entity/Q2092264,Point(5.12659 52.08408),
http://www.wikidata.org/entity/Q2092519,Point(5.9993 53.32396),
http://www.wikidata.org/entity/Q2092519,Point(5.99942 53.32397),
http://www.wikidata.org/entity/Q2092563,Point(4.90621 52.35256),
http://www.wikidata.org/entity/Q2098906,Point(5.66417 50.82944),
http://www.wikidata.org/entity/Q2104980,Point(4.923667 52.368356),
http://www.wikidata.org/entity/Q2113872,Point(4.66972 51.81611),
