item,geo
http://www.wikidata.org/entity/Q2086983,Point(5.11586 52.08626)
http://www.wikidata.org/entity/Q2087630,Point(6.07417 52.51)
http://www.wikidata.org/entity/Q2092971,Point(6.094569 52.514156)
http://www.wikidata.org/entity/Q2094824,Point(4.298436111 52.105947222)
http://www.wikidata.org/entity/Q2100268,Point(5.38024 51.5442)
http://www.wikidata.org/entity/Q2100268,Point(5.396944444 51.547777777)
http://www.wikidata.org/entity/Q2102096,Point(6.18739 52.8045)
http://www.wikidata.org/entity/Q2108615,Point(6.86861 52.23417)
http://www.wikidata.org/entity/Q2110309,Point(6.07315 53.0606)
http://www.wikidata.org/entity/Q2114469,Point(4.24639 52.07111)
http://www.wikidata.org/entity/Q2119692,Point(4.81694 52.35583)
http://www.wikidata.org/entity/Q2122009,Point(4.46236 51.52805)
http://www.wikidata.org/entity/Q2130788,Point(5.1137 52.089)
http://www.wikidata.org/entity/Q2130788,Point(5.11459 52.08809)
http://www.wikidata.org/entity/Q2147298,Point(6.247777777 52.809166666)
http://www.wikidata.org/entity/Q2150404,Point(4.377022 52.014472)
http://www.wikidata.org/entity/Q2151342,Point(6.103453 52.503306)
http://www.wikidata.org/entity/Q2159556,Point(4.511175 51.968914)
http://www.wikidata.org/entity/Q2159556,Point(4.51325 51.96858)
http://www.wikidata.org/entity/Q2161582,Point(6.31056 53.05)
http://www.wikidata.org/entity/Q2161582,Point(6.31487 53.05363)
http://www.wikidata.org/entity/Q2171295,Point(4.342238888 51.371505555)
http://www.wikidata.org/entity/Q2172607,Point(5.87272 51.84661)
http://www.wikidata.org/entity/Q2172747,Point(4.9625 52.3125)
http://www.wikidata.org/entity/Q2177789,Point(5.28861 52.34722)
http://www.wikidata.org/entity/Q2178177,Point(4.538578 51.962628)
http://www.wikidata.org/entity/Q2180936,Point(5.3651353 51.326449)
http://www.wikidata.org/entity/Q2187279,Point(4.8775 52.38611)
http://www.wikidata.org/entity/Q2187647,Point(6.69861 51.94028)
http://www.wikidata.org/entity/Q2188835,Point(6.05 52.51889)
http://www.wikidata.org/entity/Q2189238,Point(4.799722222 52.355555555)
http://www.wikidata.org/entity/Q2190964,Point(4.403925 51.911364)
http://www.wikidata.org/entity/Q2192419,Point(4.797957 52.345594)
http://www.wikidata.org/entity/Q2192611,Point(4.71528 52.00833)
http://www.wikidata.org/entity/Q2194264,Point(4.32225 52.083892)
http://www.wikidata.org/entity/Q2195300,Point(4.93333 52.35111)
http://www.wikidata.org/entity/Q2196153,Point(4.280652 51.489947)
http://www.wikidata.org/entity/Q2199961,Point(4.366035 51.975999)
http://www.wikidata.org/entity/Q2201098,Point(4.507806 52.163864)
http://www.wikidata.org/entity/Q2207036,Point(5.113861 52.086761)
http://www.wikidata.org/entity/Q2211622,Point(4.81939 52.34069)
http://www.wikidata.org/entity/Q2217126,Point(5.79306 53.20472)
http://www.wikidata.org/entity/Q2225624,Point(5.96972 52.94806)
http://www.wikidata.org/entity/Q2228447,Point(4.61194 52.40472)
http://www.wikidata.org/entity/Q4804820,Point(4.29145 52.0962)
http://www.wikidata.org/entity/Q5041045,Point(4.583702 51.944635)
http://www.wikidata.org/entity/Q5320109,Point(6.038017 52.039769)
http://www.wikidata.org/entity/Q5530436,Point(4.45333 51.92972)
http://www.wikidata.org/entity/Q5768866,Point(6.10611 52.53472)
http://www.wikidata.org/entity/Q7476523,Point(4.90722 52.36611)
http://www.wikidata.org/entity/Q2238384,Point(5.35722 51.72194)
http://www.wikidata.org/entity/Q2238513,Point(5.03715 51.56876)
http://www.wikidata.org/entity/Q2238513,Point(5.037575 51.570135)
http://www.wikidata.org/entity/Q2242295,Point(4.3075 52.1)
http://www.wikidata.org/entity/Q2252911,Point(4.30389 52.08083)
http://www.wikidata.org/entity/Q2274000,Point(4.84849 52.30648)
http://www.wikidata.org/entity/Q2274000,Point(4.848683 52.306353)
http://www.wikidata.org/entity/Q2278595,Point(4.595556 52.379722)
http://www.wikidata.org/entity/Q2281157,Point(6.573889 53.210556)
http://www.wikidata.org/entity/Q2282790,Point(5.67384 53.04297)
http://www.wikidata.org/entity/Q2284293,Point(6.17348 51.381333)
http://www.wikidata.org/entity/Q2285562,Point(4.90667 52.33944)
http://www.wikidata.org/entity/Q2290261,Point(4.931667 52.389444)
http://www.wikidata.org/entity/Q2295594,Point(5.247111111 52.08585)
http://www.wikidata.org/entity/Q2303690,Point(4.520617 51.940429)
http://www.wikidata.org/entity/Q2304214,Point(4.562973 51.970399)
http://www.wikidata.org/entity/Q2309358,Point(5.160528 52.225381)
http://www.wikidata.org/entity/Q2312608,Point(4.8698 52.3714)
http://www.wikidata.org/entity/Q2322722,Point(6.00944 52.87056)
http://www.wikidata.org/entity/Q2324913,Point(4.79328 51.61361)
http://www.wikidata.org/entity/Q2326972,Point(4.499214 52.153533)
http://www.wikidata.org/entity/Q2332137,Point(5.79311 53.20848)
http://www.wikidata.org/entity/Q2332956,Point(5.3275 51.541111111)
http://www.wikidata.org/entity/Q2332962,Point(5.69061 51.9662)
http://www.wikidata.org/entity/Q2335366,Point(4.95056 52.36139)
http://www.wikidata.org/entity/Q2340337,Point(6.176559 51.36538)
http://www.wikidata.org/entity/Q2342522,Point(6.87778 52.21972)
http://www.wikidata.org/entity/Q2353971,Point(6.58778 53.20056)
http://www.wikidata.org/entity/Q2358121,Point(5.104522 52.121264)
http://www.wikidata.org/entity/Q2377534,Point(6.165342 51.370267)
http://www.wikidata.org/entity/Q2379112,Point(6.607777777 51.923333333)
http://www.wikidata.org/entity/Q2379368,Point(4.285555555 52.055833333)
http://www.wikidata.org/entity/Q2381258,Point(6.11306 52.50667)
http://www.wikidata.org/entity/Q2383902,Point(5.44306 51.45722)
http://www.wikidata.org/entity/Q2383906,Point(5.857222 51.846389)
http://www.wikidata.org/entity/Q2383906,Point(5.8576 51.84632)
http://www.wikidata.org/entity/Q2385770,Point(5.75424 50.83769)
http://www.wikidata.org/entity/Q2396981,Point(4.98894 52.32535)
http://www.wikidata.org/entity/Q2400941,Point(5.07851 52.11929)
http://www.wikidata.org/entity/Q2409341,Point(4.80917 52.38167)
http://www.wikidata.org/entity/Q2409660,Point(5.47611 51.42556)
http://www.wikidata.org/entity/Q2414231,Point(5.65334 53.03583)
http://www.wikidata.org/entity/Q2419924,Point(6.54 53.203)
http://www.wikidata.org/entity/Q2419924,Point(6.542777777 53.204166666)
http://www.wikidata.org/entity/Q2425652,Point(5.47389 51.42056)
http://www.wikidata.org/entity/Q2428929,Point(4.52056 51.87583)
http://www.wikidata.org/entity/Q2429340,Point(4.49056 52.15528)
http://www.wikidata.org/entity/Q2432667,Point(5.47167 51.48056)
http://www.wikidata.org/entity/Q2438732,Point(6.18639 51.37278)
http://www.wikidata.org/entity/Q2439153,Point(5.871764 51.819758)
http://www.wikidata.org/entity/Q2440939,Point(4.889947 52.091742)
http://www.wikidata.org/entity/Q2441613,Point(5.078711111 51.566477777)
http://www.wikidata.org/entity/Q2452329,Point(4.77861 51.59028)
http://www.wikidata.org/entity/Q2467179,Point(5.087356 52.106308)
http://www.wikidata.org/entity/Q2469784,Point(4.631667 52.386667)
http://www.wikidata.org/entity/Q2475298,Point(5.88305 51.970633)
http://www.wikidata.org/entity/Q2479521,Point(4.24457 52.08246)
http://www.wikidata.org/entity/Q2480678,Point(4.91944 52.39472)
http://www.wikidata.org/entity/Q2493327,Point(4.70353 52.01531)
http://www.wikidata.org/entity/Q2498147,Point(4.23111 52.06583)
http://www.wikidata.org/entity/Q2498659,Point(6.17234 51.37209)
http://www.wikidata.org/entity/Q2499724,Point(4.96781 52.28479)
http://www.wikidata.org/entity/Q2506635,Point(6.153611111 52.258055555)
http://www.wikidata.org/entity/Q2511480,Point(4.647333938 52.06197533)
http://www.wikidata.org/entity/Q2511542,Point(5.675236111 53.035558333)
http://www.wikidata.org/entity/Q2512374,Point(4.59722 52.32528)
http://www.wikidata.org/entity/Q2514026,Point(4.9994 52.29419)
http://www.wikidata.org/entity/Q2519034,Point(6.096511 52.509514)
http://www.wikidata.org/entity/Q2524822,Point(4.790747222 52.377158333)
http://www.wikidata.org/entity/Q2527744,Point(6.14861 52.25)
http://www.wikidata.org/entity/Q2533983,Point(6.09139 52.50917)
http://www.wikidata.org/entity/Q2540201,Point(4.51306 51.92833)
http://www.wikidata.org/entity/Q2550411,Point(4.87703 52.37883)
http://www.wikidata.org/entity/Q2550973,Point(4.81388889 52.44583333)
http://www.wikidata.org/entity/Q2552954,Point(5.41556 51.45167)
http://www.wikidata.org/entity/Q2554548,Point(4.779175 51.591506)
http://www.wikidata.org/entity/Q2555404,Point(4.89083 52.35889)
http://www.wikidata.org/entity/Q2572416,Point(4.547547 51.962044)
http://www.wikidata.org/entity/Q2573639,Point(5.14165 52.09182)
http://www.wikidata.org/entity/Q2581059,Point(6.06806 52.49778)
http://www.wikidata.org/entity/Q2582087,Point(4.78611 52.38639)
http://www.wikidata.org/entity/Q2588444,Point(5.12847 52.08926)
http://www.wikidata.org/entity/Q2590798,Point(6.171892 51.356235)
http://www.wikidata.org/entity/Q2606315,Point(5.29987 51.72192)
http://www.wikidata.org/entity/Q2615756,Point(6.88083 52.22861)
http://www.wikidata.org/entity/Q2619795,Point(5.11307 52.09559)
http://www.wikidata.org/entity/Q2620183,Point(4.922926 52.347301)
http://www.wikidata.org/entity/Q2620380,Point(4.8535 52.37765)
http://www.wikidata.org/entity/Q2620380,Point(4.8539 52.3778)
http://www.wikidata.org/entity/Q2621564,Point(6.133005 51.376071)
http://www.wikidata.org/entity/Q2621932,Point(5.90541 53.2171)
http://www.wikidata.org/entity/Q2626701,Point(6.555 53.224167)
http://www.wikidata.org/entity/Q2632605,Point(4.83028 52.3775)
http://www.wikidata.org/entity/Q2634008,Point(4.338056 52.033056)
http://www.wikidata.org/entity/Q2638599,Point(4.76194 52.3939)
http://www.wikidata.org/entity/Q2642341,Point(5.8325 51.823333)
http://www.wikidata.org/entity/Q2642965,Point(6.093936 52.490567)
http://www.wikidata.org/entity/Q2645217,Point(5.39944 52.14722)
http://www.wikidata.org/entity/Q2649611,Point(6.766666666 52.816666666)
http://www.wikidata.org/entity/Q2660476,Point(4.822222 52.364722)
http://www.wikidata.org/entity/Q2664573,Point(5.89472 51.99722)
http://www.wikidata.org/entity/Q2674659,Point(5.08928 52.09515)
http://www.wikidata.org/entity/Q2681123,Point(4.35861 52.06472)
http://www.wikidata.org/entity/Q2681887,Point(6.02389 52.02583)
http://www.wikidata.org/entity/Q2681897,Point(4.99417 52.30889)
http://www.wikidata.org/entity/Q2682177,Point(5.149464 52.0944)
http://www.wikidata.org/entity/Q2687630,Point(5.64747 53.03125)
http://www.wikidata.org/entity/Q2694777,Point(5.19757 52.37633)
http://www.wikidata.org/entity/Q2694935,Point(4.541067 51.966322)
http://www.wikidata.org/entity/Q2696874,Point(5.024692 52.100142)
http://www.wikidata.org/entity/Q2697647,Point(6.09237 53.10859)
http://www.wikidata.org/entity/Q2697934,Point(4.48111 52.17528)
http://www.wikidata.org/entity/Q2717992,Point(5.891622 51.984378)
http://www.wikidata.org/entity/Q2718912,Point(4.919722222 52.360277777)
http://www.wikidata.org/entity/Q2737408,Point(5.397419 52.149239)
http://www.wikidata.org/entity/Q2739091,Point(6.731111111 53.154166666)
http://www.wikidata.org/entity/Q2741266,Point(6.57722 53.20444)
http://www.wikidata.org/entity/Q2744224,Point(4.875355555 52.322513888)
http://www.wikidata.org/entity/Q2745660,Point(6.171194 51.37534)
http://www.wikidata.org/entity/Q2748913,Point(5.13773 52.0949)
http://www.wikidata.org/entity/Q2760072,Point(4.33806 51.86667)
http://www.wikidata.org/entity/Q2776581,Point(6.17528 51.36889)
http://www.wikidata.org/entity/Q2777350,Point(4.92338 52.39139)
http://www.wikidata.org/entity/Q2783520,Point(4.94732222 52.39733611)
http://www.wikidata.org/entity/Q2785485,Point(4.305739 52.062592)
http://www.wikidata.org/entity/Q2788687,Point(5.67723 53.01915)
